writing time step 70  t = 0.05000000000000008
writing time step 140  t = 0.09999999999999983
writing time step 210  t = 0.14999999999999994
writing time step 280  t = 0.20000000000000054
writing time step 350  t = 0.2500000000000011
writing time step 420  t = 0.3000000000000017
writing time step 490  t = 0.3500000000000023
writing time step 560  t = 0.4000000000000029
writing time step 630  t = 0.4500000000000035
writing time step 700  t = 0.5000000000000041
writing time step 770  t = 0.5500000000000008
writing time step 840  t = 0.5999999999999975
writing time step 910  t = 0.6499999999999942
writing time step 980  t = 0.699999999999991
writing time step 1050  t = 0.7499999999999877
writing time step 1120  t = 0.7999999999999844
writing time step 1190  t = 0.8499999999999811
writing time step 1260  t = 0.8999999999999778
writing time step 1330  t = 0.9499999999999745
writing time step 1400  t = 0.9999999999999712
writing time step 1470  t = 1.049999999999968
writing time step 1540  t = 1.0999999999999648
writing time step 1610  t = 1.1499999999999615
writing time step 1680  t = 1.1999999999999582
writing time step 1750  t = 1.249999999999955
writing time step 1820  t = 1.2999999999999516
writing time step 1890  t = 1.3499999999999484
writing time step 1960  t = 1.399999999999945
writing time step 2030  t = 1.4499999999999418
writing time step 2100  t = 1.4999999999999385
writing time step 2170  t = 1.5499999999999352
writing time step 2240  t = 1.599999999999932
writing time step 2310  t = 1.6499999999999286
writing time step 2380  t = 1.6999999999999253
writing time step 2450  t = 1.749999999999922
writing time step 2520  t = 1.7999999999999188
writing time step 2590  t = 1.8499999999999155
writing time step 2660  t = 1.8999999999999122
writing time step 2730  t = 1.949999999999909
writing time step 2800  t = 1.9999999999999056
writing time step 2870  t = 2.0499999999999177
writing time step 2940  t = 2.09999999999993
writing time step 3010  t = 2.149999999999942
writing time step 3080  t = 2.1999999999999544
writing time step 3150  t = 2.2499999999999667
writing time step 3220  t = 2.299999999999979
writing time step 3290  t = 2.349999999999991
writing time step 3360  t = 2.4000000000000035
writing time step 3430  t = 2.4500000000000157
writing time step 3500  t = 2.500000000000028
writing time step 3570  t = 2.5500000000000402
writing time step 3640  t = 2.6000000000000525
writing time step 3710  t = 2.6500000000000647
writing time step 3780  t = 2.700000000000077
writing time step 3850  t = 2.7500000000000893
writing time step 3920  t = 2.8000000000001015
writing time step 3990  t = 2.8500000000001138
writing time step 4060  t = 2.900000000000126
writing time step 4130  t = 2.9500000000001383
writing time step 4200  t = 3.0000000000001505
writing time step 4270  t = 3.050000000000163
writing time step 4340  t = 3.100000000000175
writing time step 4410  t = 3.1500000000001873
writing time step 4480  t = 3.2000000000001996
writing time step 4550  t = 3.250000000000212
writing time step 4620  t = 3.300000000000224
writing time step 4690  t = 3.3500000000002363
writing time step 4760  t = 3.4000000000002486
writing time step 4830  t = 3.450000000000261
writing time step 4900  t = 3.500000000000273
writing time step 4970  t = 3.5500000000002854
writing time step 5040  t = 3.6000000000002976
writing time step 5110  t = 3.65000000000031
writing time step 5180  t = 3.700000000000322
writing time step 5250  t = 3.7500000000003344
writing time step 5320  t = 3.8000000000003467
writing time step 5390  t = 3.850000000000359
writing time step 5460  t = 3.900000000000371
writing time step 5530  t = 3.9500000000003834
writing time step 5600  t = 4.000000000000395
writing time step 5670  t = 4.050000000000376
writing time step 5740  t = 4.100000000000358
writing time step 5810  t = 4.150000000000339
writing time step 5880  t = 4.20000000000032
writing time step 5950  t = 4.250000000000301
writing time step 6020  t = 4.300000000000282
writing time step 6090  t = 4.350000000000263
writing time step 6160  t = 4.400000000000245
writing time step 6230  t = 4.450000000000226
writing time step 6300  t = 4.500000000000207
writing time step 6370  t = 4.550000000000188
writing time step 6440  t = 4.600000000000169
writing time step 6510  t = 4.6500000000001505
writing time step 6580  t = 4.700000000000132
writing time step 6650  t = 4.750000000000113
writing time step 6720  t = 4.800000000000094
writing time step 6790  t = 4.850000000000075
writing time step 6860  t = 4.900000000000056
writing time step 6930  t = 4.9500000000000375
writing time step 7000  t = 5.0
