writing time step 10  t = 0.020000000000000007
writing time step 20  t = 0.04000000000000002
writing time step 30  t = 0.06000000000000004
writing time step 40  t = 0.08000000000000006
writing time step 50  t = 0.10000000000000007
writing time step 60  t = 0.12000000000000009
writing time step 70  t = 0.1400000000000001
writing time step 80  t = 0.16000000000000011
writing time step 90  t = 0.18000000000000013
writing time step 100  t = 0.20000000000000015
writing time step 110  t = 0.22000000000000017
writing time step 120  t = 0.24000000000000019
writing time step 130  t = 0.2600000000000002
writing time step 140  t = 0.2800000000000002
writing time step 150  t = 0.3000000000000002
writing time step 160  t = 0.32000000000000023
writing time step 170  t = 0.34000000000000025
writing time step 180  t = 0.36000000000000026
writing time step 190  t = 0.3800000000000003
writing time step 200  t = 0.4000000000000003
writing time step 210  t = 0.4200000000000003
writing time step 220  t = 0.44000000000000034
writing time step 230  t = 0.46000000000000035
writing time step 240  t = 0.48000000000000037
writing time step 250  t = 0.5000000000000003
writing time step 260  t = 0.5200000000000004
writing time step 270  t = 0.5400000000000004
writing time step 280  t = 0.5600000000000004
writing time step 290  t = 0.5800000000000004
writing time step 300  t = 0.6000000000000004
writing time step 310  t = 0.6200000000000004
writing time step 320  t = 0.6400000000000005
writing time step 330  t = 0.6600000000000005
writing time step 340  t = 0.6800000000000005
writing time step 350  t = 0.7000000000000005
writing time step 360  t = 0.7200000000000005
writing time step 370  t = 0.7400000000000005
writing time step 380  t = 0.7600000000000006
writing time step 390  t = 0.7800000000000006
writing time step 400  t = 0.8000000000000006
writing time step 410  t = 0.8200000000000006
writing time step 420  t = 0.8400000000000006
writing time step 430  t = 0.8600000000000007
writing time step 440  t = 0.8800000000000007
writing time step 450  t = 0.9000000000000007
writing time step 460  t = 0.9200000000000007
writing time step 470  t = 0.9400000000000007
writing time step 480  t = 0.9600000000000007
writing time step 490  t = 0.9800000000000008
writing time step 500  t = 1.0
