writing time step 100  t = 0.06250000000000004
writing time step 200  t = 0.12500000000000008
writing time step 300  t = 0.18749999999999875
writing time step 400  t = 0.24999999999999742
writing time step 500  t = 0.3124999999999961
writing time step 600  t = 0.3749999999999948
writing time step 700  t = 0.43749999999999345
writing time step 800  t = 0.4999999999999921
writing time step 900  t = 0.5624999999999908
writing time step 1000  t = 0.6249999999999895
writing time step 1100  t = 0.6874999999999881
writing time step 1200  t = 0.7499999999999868
writing time step 1300  t = 0.8124999999999855
writing time step 1400  t = 0.8749999999999841
writing time step 1500  t = 0.9374999999999828
writing time step 1600  t = 0.9999999999999815
