writing time step 249  t = 0.02000790778584662
writing time step 498  t = 0.04001581557169349
writing time step 747  t = 0.06002372335754036
writing time step 996  t = 0.08003163114338571
writing time step 1245  t = 0.10003953892923086
writing time step 1494  t = 0.120047446715076
writing time step 1743  t = 0.14005535450092374
writing time step 1992  t = 0.16006326228677234
writing time step 2241  t = 0.18007117007262094
writing time step 2490  t = 0.20007907785846954
writing time step 2739  t = 0.22008698564431814
writing time step 2988  t = 0.24009489343016674
writing time step 3237  t = 0.2601028012160153
writing time step 3486  t = 0.2801107090018639
writing time step 3735  t = 0.3001186167877125
writing time step 3984  t = 0.3201265245735611
writing time step 4233  t = 0.3401344323594097
writing time step 4482  t = 0.3601423401452583
writing time step 4731  t = 0.3801502479311069
writing time step 4980  t = 0.4001581557169555
writing time step 5229  t = 0.4201660635028041
writing time step 5478  t = 0.4401739712886527
writing time step 5727  t = 0.4601818790745013
writing time step 5976  t = 0.4801897868603499
writing time step 6225  t = 0.5001976946461985
writing time step 6474  t = 0.520205602432047
writing time step 6723  t = 0.5402135102178957
writing time step 6972  t = 0.5602214180037443
writing time step 7221  t = 0.5802293257895929
writing time step 7470  t = 0.6002372335754415
writing time step 7719  t = 0.62024514136129
writing time step 7968  t = 0.6402530491471387
writing time step 8217  t = 0.6602609569329873
writing time step 8466  t = 0.6802688647188359
writing time step 8715  t = 0.7002767725046845
writing time step 8964  t = 0.720284680290533
writing time step 9213  t = 0.7402925880763817
writing time step 9462  t = 0.7603004958622303
writing time step 9711  t = 0.7803084036480789
writing time step 9960  t = 0.8003163114339275
writing time step 10209  t = 0.820324219219776
writing time step 10458  t = 0.8403321270056247
