writing time step 408  t = 0.02003469213361882
writing time step 816  t = 0.04006938426723713
writing time step 1224  t = 0.06010407640085543
writing time step 1632  t = 0.08013876853447374
writing time step 2040  t = 0.10017346066809205
writing time step 2448  t = 0.12020815280171035
writing time step 2856  t = 0.14024284493532865
writing time step 3264  t = 0.16027753706894696
writing time step 3672  t = 0.18031222920256526
writing time step 4080  t = 0.20034692133618356
writing time step 4488  t = 0.22038161346980187
writing time step 4896  t = 0.24041630560342017
writing time step 5304  t = 0.2604509977370385
writing time step 5712  t = 0.2804856898706568
writing time step 6120  t = 0.3005203820042751
writing time step 6528  t = 0.3205550741378934
writing time step 6936  t = 0.3405897662715117
writing time step 7344  t = 0.36062445840513
writing time step 7752  t = 0.3806591505387483
writing time step 8160  t = 0.40069384267236663
writing time step 8568  t = 0.42072853480598493
writing time step 8976  t = 0.44076322693960324
writing time step 9384  t = 0.46079791907322154
writing time step 9792  t = 0.48083261120683984
writing time step 10200  t = 0.5008673033404591
writing time step 10608  t = 0.5209019954741001
writing time step 11016  t = 0.540936687607741
writing time step 11424  t = 0.560971379741382
writing time step 11832  t = 0.581006071875023
writing time step 12240  t = 0.6010407640086639
writing time step 12648  t = 0.6210754561423049
writing time step 13056  t = 0.6411101482759458
writing time step 13464  t = 0.6611448404095868
writing time step 13872  t = 0.6811795325432277
writing time step 14280  t = 0.7012142246768687
writing time step 14688  t = 0.7212489168105096
writing time step 15096  t = 0.7412836089441506
writing time step 15504  t = 0.7613183010777915
writing time step 15912  t = 0.7813529932114325
writing time step 16320  t = 0.8013876853450734
writing time step 16728  t = 0.8214223774787144
writing time step 17136  t = 0.8414570696123553
writing time step 17544  t = 0.8614917617459963
writing time step 17952  t = 0.8815264538796372
writing time step 18360  t = 0.9015611460132782
writing time step 18768  t = 0.9215958381469191
writing time step 19176  t = 0.9416305302805601
writing time step 19584  t = 0.961665222414201
writing time step 19992  t = 0.981699914547842
