writing time step 815  t = 0.020010139814827365
writing time step 1630  t = 0.04002027962965447
writing time step 2445  t = 0.06003041944448158
writing time step 3260  t = 0.08004055925930868
writing time step 4075  t = 0.10005069907413579
writing time step 4890  t = 0.12006083888896289
writing time step 5705  t = 0.14007097870379
writing time step 6520  t = 0.16008111851861712
writing time step 7335  t = 0.18009125833344422
writing time step 8150  t = 0.20010139814827133
writing time step 8965  t = 0.22011153796309843
writing time step 9780  t = 0.24012167777792554
writing time step 10595  t = 0.2601318175927641
writing time step 11410  t = 0.28014195740761383
writing time step 12225  t = 0.30015209722246355
writing time step 13040  t = 0.3201622370373133
writing time step 13855  t = 0.340172376852163
writing time step 14670  t = 0.36018251666701273
writing time step 15485  t = 0.38019265648186246
writing time step 16300  t = 0.4002027962967122
writing time step 17115  t = 0.4202129361115619
writing time step 17930  t = 0.44022307592641163
writing time step 18745  t = 0.46023321574126136
writing time step 19560  t = 0.4802433555561111
writing time step 20375  t = 0.5002534953709602
writing time step 21190  t = 0.5202636351857647
writing time step 22005  t = 0.5402737750005692
writing time step 22820  t = 0.5602839148153737
writing time step 23635  t = 0.5802940546301781
writing time step 24450  t = 0.6003041944449826
writing time step 25265  t = 0.6203143342597871
writing time step 26080  t = 0.6403244740745916
writing time step 26895  t = 0.6603346138893961
writing time step 27710  t = 0.6803447537042006
writing time step 28525  t = 0.700354893519005
writing time step 29340  t = 0.7203650333338095
writing time step 30155  t = 0.740375173148614
writing time step 30970  t = 0.7603853129634185
writing time step 31785  t = 0.780395452778223
writing time step 32600  t = 0.8004055925930275
writing time step 33415  t = 0.8204157324078319
writing time step 34230  t = 0.8404258722226364
writing time step 35045  t = 0.8604360120374409
writing time step 35860  t = 0.8804461518522454
writing time step 36675  t = 0.9004562916670499
writing time step 37490  t = 0.9204664314818544
writing time step 38305  t = 0.9404765712966588
writing time step 39120  t = 0.9604867111114633
writing time step 39935  t = 0.9804968509262678
