writing time step 13  t = 0.005106882308569508
writing time step 26  t = 0.010213764617139015
writing time step 39  t = 0.015320646925708522
writing time step 52  t = 0.02042752923427803
writing time step 65  t = 0.025534411542847538
writing time step 78  t = 0.030641293851417045
writing time step 91  t = 0.03574817615998659
writing time step 104  t = 0.040855058468556145
writing time step 117  t = 0.0459619407771257
writing time step 130  t = 0.05106882308569525
writing time step 143  t = 0.0561757053942648
writing time step 156  t = 0.06128258770283435
writing time step 169  t = 0.0663894700114039
writing time step 182  t = 0.07149635231997345
writing time step 195  t = 0.076603234628543
writing time step 208  t = 0.08171011693711255
writing time step 221  t = 0.0868169992456821
writing time step 234  t = 0.09192388155425166
writing time step 247  t = 0.09703076386282121
writing time step 260  t = 0.10213764617139076
writing time step 273  t = 0.10724452847996031
writing time step 286  t = 0.11235141078852987
writing time step 299  t = 0.11745829309709942
writing time step 312  t = 0.12256517540566897
writing time step 325  t = 0.12767205771423842
writing time step 338  t = 0.1327789400228078
writing time step 351  t = 0.13788582233137717
writing time step 364  t = 0.14299270463994654
writing time step 377  t = 0.1480995869485159
writing time step 390  t = 0.15320646925708528
writing time step 403  t = 0.15831335156565465
writing time step 416  t = 0.16342023387422402
writing time step 429  t = 0.1685271161827934
writing time step 442  t = 0.17363399849136277
writing time step 455  t = 0.17874088079993214
writing time step 468  t = 0.1838477631085015
writing time step 481  t = 0.18895464541707088
writing time step 494  t = 0.19406152772564025
writing time step 507  t = 0.19916841003420963
writing time step 520  t = 0.204275292342779
writing time step 533  t = 0.20938217465134837
writing time step 546  t = 0.21448905695991774
writing time step 559  t = 0.2195959392684871
writing time step 572  t = 0.22470282157705648
writing time step 585  t = 0.22980970388562585
writing time step 598  t = 0.23491658619419523
writing time step 611  t = 0.2400234685027646
writing time step 624  t = 0.24513035081133397
writing time step 637  t = 0.25023723311990337
writing time step 650  t = 0.25534411542847274
writing time step 663  t = 0.2604509977370421
writing time step 676  t = 0.2655578800456115
writing time step 689  t = 0.27066476235418085
writing time step 702  t = 0.2757716446627502
writing time step 715  t = 0.2808785269713196
writing time step 728  t = 0.28598540927988897
writing time step 741  t = 0.29109229158845834
writing time step 754  t = 0.2961991738970277
writing time step 767  t = 0.3013060562055971
writing time step 780  t = 0.30641293851416646
writing time step 793  t = 0.3115198208227358
writing time step 806  t = 0.3166267031313052
writing time step 819  t = 0.32173358543987457
writing time step 832  t = 0.32684046774844394
writing time step 845  t = 0.3319473500570133
writing time step 858  t = 0.3370542323655827
writing time step 871  t = 0.34216111467415206
writing time step 884  t = 0.3472679969827214
writing time step 897  t = 0.3523748792912908
writing time step 910  t = 0.35748176159986017
writing time step 923  t = 0.36258864390842954
writing time step 936  t = 0.3676955262169989
writing time step 949  t = 0.3728024085255683
writing time step 962  t = 0.37790929083413766
writing time step 975  t = 0.38301617314270703
writing time step 988  t = 0.3881230554512764
writing time step 1001  t = 0.39322993775984577
writing time step 1014  t = 0.39833682006841514
writing time step 1027  t = 0.4034437023769845
writing time step 1040  t = 0.4085505846855539
writing time step 1053  t = 0.41365746699412326
writing time step 1066  t = 0.41876434930269263
writing time step 1079  t = 0.423871231611262
writing time step 1092  t = 0.42897811391983137
writing time step 1105  t = 0.43408499622840074
writing time step 1118  t = 0.4391918785369701
writing time step 1131  t = 0.4442987608455395
writing time step 1144  t = 0.44940564315410886
writing time step 1157  t = 0.45451252546267823
writing time step 1170  t = 0.4596194077712476
writing time step 1183  t = 0.464726290079817
writing time step 1196  t = 0.46983317238838634
writing time step 1209  t = 0.4749400546969557
writing time step 1222  t = 0.4800469370055251
writing time step 1235  t = 0.48515381931409446
writing time step 1248  t = 0.49026070162266383
writing time step 1261  t = 0.4953675839312332
writing time step 1274  t = 0.5004744662398026
writing time step 1287  t = 0.505581348548372
writing time step 1300  t = 0.5106882308569414
writing time step 1313  t = 0.5157951131655107
writing time step 1326  t = 0.5209019954740801
writing time step 1339  t = 0.5260088777826495
writing time step 1352  t = 0.5311157600912189
writing time step 1365  t = 0.5362226423997882
writing time step 1378  t = 0.5413295247083576
writing time step 1391  t = 0.546436407016927
writing time step 1404  t = 0.5515432893254963
writing time step 1417  t = 0.5566501716340657
writing time step 1430  t = 0.5617570539426351
writing time step 1443  t = 0.5668639362512045
writing time step 1456  t = 0.5719708185597738
writing time step 1469  t = 0.5770777008683432
writing time step 1482  t = 0.5821845831769126
writing time step 1495  t = 0.587291465485482
writing time step 1508  t = 0.5923983477940513
writing time step 1521  t = 0.5975052301026207
writing time step 1534  t = 0.6026121124111901
writing time step 1547  t = 0.6077189947197594
writing time step 1560  t = 0.6128258770283288
writing time step 1573  t = 0.6179327593368982
writing time step 1586  t = 0.6230396416454675
writing time step 1599  t = 0.6281465239540369
writing time step 1612  t = 0.6332534062626063
writing time step 1625  t = 0.6383602885711757
writing time step 1638  t = 0.643467170879745
writing time step 1651  t = 0.6485740531883144
writing time step 1664  t = 0.6536809354968838
writing time step 1677  t = 0.6587878178054531
writing time step 1690  t = 0.6638947001140225
writing time step 1703  t = 0.6690015824225919
writing time step 1716  t = 0.6741084647311613
writing time step 1729  t = 0.6792153470397306
writing time step 1742  t = 0.6843222293483
writing time step 1755  t = 0.6894291116568694
writing time step 1768  t = 0.6945359939654387
writing time step 1781  t = 0.6996428762740081
writing time step 1794  t = 0.7047497585825775
writing time step 1807  t = 0.7098566408911469
writing time step 1820  t = 0.7149635231997162
writing time step 1833  t = 0.7200704055082856
writing time step 1846  t = 0.725177287816855
writing time step 1859  t = 0.7302841701254243
writing time step 1872  t = 0.7353910524339937
writing time step 1885  t = 0.7404979347425631
writing time step 1898  t = 0.7456048170511325
writing time step 1911  t = 0.7507116993597018
writing time step 1924  t = 0.7558185816682712
writing time step 1937  t = 0.7609254639768406
writing time step 1950  t = 0.76603234628541
writing time step 1963  t = 0.7711392285939793
writing time step 1976  t = 0.7762461109025487
writing time step 1989  t = 0.7813529932111181
writing time step 2002  t = 0.7864598755196874
writing time step 2015  t = 0.7915667578282568
writing time step 2028  t = 0.7966736401368262
writing time step 2041  t = 0.8017805224453955
writing time step 2054  t = 0.8068874047539649
writing time step 2067  t = 0.8119942870625343
writing time step 2080  t = 0.8171011693711037
writing time step 2093  t = 0.822208051679673
writing time step 2106  t = 0.8273149339882424
writing time step 2119  t = 0.8324218162968118
writing time step 2132  t = 0.8375286986053811
writing time step 2145  t = 0.8426355809139505
writing time step 2158  t = 0.8477424632225199
writing time step 2171  t = 0.8528493455310893
writing time step 2184  t = 0.8579562278396586
writing time step 2197  t = 0.863063110148228
writing time step 2210  t = 0.8681699924567974
writing time step 2223  t = 0.8732768747653668
writing time step 2236  t = 0.8783837570739361
writing time step 2249  t = 0.8834906393825055
writing time step 2262  t = 0.8885975216910749
writing time step 2275  t = 0.8937044039996442
writing time step 2288  t = 0.8988112863082136
writing time step 2301  t = 0.903918168616783
writing time step 2314  t = 0.9090250509253524
writing time step 2327  t = 0.9141319332339217
writing time step 2340  t = 0.9192388155424911
writing time step 2353  t = 0.9243456978510605
writing time step 2366  t = 0.9294525801596298
writing time step 2379  t = 0.9345594624681992
writing time step 2392  t = 0.9396663447767686
writing time step 2405  t = 0.944773227085338
writing time step 2418  t = 0.9498801093939073
writing time step 2431  t = 0.9549869917024767
writing time step 2444  t = 0.9600938740110461
writing time step 2457  t = 0.9652007563196154
writing time step 2470  t = 0.9703076386281848
writing time step 2483  t = 0.9754145209367542
writing time step 2496  t = 0.9805214032453236
writing time step 2509  t = 0.9856282855538929
writing time step 2522  t = 0.9907351678624623
writing time step 2535  t = 0.9958420501710317
