writing time step 280  t = 0.050000000000000135
writing time step 560  t = 0.10000000000000073
writing time step 840  t = 0.14999999999999938
writing time step 1120  t = 0.1999999999999961
writing time step 1400  t = 0.2499999999999928
writing time step 1680  t = 0.29999999999998955
writing time step 1960  t = 0.34999999999998627
writing time step 2240  t = 0.399999999999983
writing time step 2520  t = 0.4499999999999797
writing time step 2800  t = 0.4999999999999764
writing time step 3080  t = 0.5499999999999886
writing time step 3360  t = 0.6000000000000009
writing time step 3640  t = 0.6500000000000131
writing time step 3920  t = 0.7000000000000254
writing time step 4200  t = 0.7500000000000376
writing time step 4480  t = 0.8000000000000499
writing time step 4760  t = 0.8500000000000622
writing time step 5040  t = 0.9000000000000744
writing time step 5320  t = 0.9500000000000867
writing time step 5600  t = 1.0
