writing time step 80  t = 0.02020305089104419
writing time step 160  t = 0.0404061017820885
writing time step 240  t = 0.06060915267313296
writing time step 320  t = 0.08081220356417741
writing time step 400  t = 0.10101525445522187
writing time step 480  t = 0.12121830534626633
writing time step 560  t = 0.1414213562373099
writing time step 640  t = 0.16162440712835324
writing time step 720  t = 0.1818274580193966
writing time step 800  t = 0.20203050891043994
writing time step 880  t = 0.2222335598014833
writing time step 960  t = 0.24243661069252664
writing time step 1040  t = 0.2626396615835714
writing time step 1120  t = 0.28284271247461695
writing time step 1200  t = 0.3030457633656625
writing time step 1280  t = 0.3232488142567081
writing time step 1360  t = 0.34345186514775367
writing time step 1440  t = 0.36365491603879924
writing time step 1520  t = 0.3838579669298448
writing time step 1600  t = 0.4040610178208904
writing time step 1680  t = 0.42426406871193595
writing time step 1760  t = 0.4444671196029815
writing time step 1840  t = 0.4646701704940271
writing time step 1920  t = 0.48487322138507266
writing time step 2000  t = 0.5050762722761171
writing time step 2080  t = 0.5252793231671582
writing time step 2160  t = 0.5454823740581993
writing time step 2240  t = 0.5656854249492405
writing time step 2320  t = 0.5858884758402816
writing time step 2400  t = 0.6060915267313227
writing time step 2480  t = 0.6262945776223638
writing time step 2560  t = 0.646497628513405
writing time step 2640  t = 0.6667006794044461
writing time step 2720  t = 0.6869037302954872
writing time step 2800  t = 0.7071067811865284
writing time step 2880  t = 0.7273098320775695
writing time step 2960  t = 0.7475128829686106
writing time step 3040  t = 0.7677159338596518
writing time step 3120  t = 0.7879189847506929
writing time step 3200  t = 0.808122035641734
writing time step 3280  t = 0.8283250865327751
writing time step 3360  t = 0.8485281374238163
writing time step 3440  t = 0.8687311883148574
writing time step 3520  t = 0.8889342392058985
writing time step 3600  t = 0.9091372900969397
writing time step 3680  t = 0.9293403409879808
writing time step 3760  t = 0.9495433918790219
writing time step 3840  t = 0.969746442770063
writing time step 3920  t = 0.9899494936611042
