writing time step 454  t = 0.0504444444444442
writing time step 908  t = 0.10088888888889073
writing time step 1362  t = 0.151333333333338
writing time step 1816  t = 0.2017777777777853
writing time step 2270  t = 0.25222222222223256
writing time step 2724  t = 0.30266666666667985
writing time step 3178  t = 0.35311111111112714
writing time step 3632  t = 0.40355555555557443
writing time step 4086  t = 0.4540000000000217
writing time step 4540  t = 0.5044444444444668
writing time step 4994  t = 0.5548888888888889
writing time step 5448  t = 0.605333333333311
writing time step 5902  t = 0.655777777777733
writing time step 6356  t = 0.7062222222221551
writing time step 6810  t = 0.7566666666665772
writing time step 7264  t = 0.8071111111109993
writing time step 7718  t = 0.8575555555554214
writing time step 8172  t = 0.9079999999998435
writing time step 8626  t = 0.9584444444442656
writing time step 9080  t = 1.0088888888886964
writing time step 9534  t = 1.059333333333169
writing time step 9988  t = 1.1097777777776414
writing time step 10442  t = 1.160222222222114
writing time step 10896  t = 1.2106666666665864
writing time step 11350  t = 1.261111111111059
writing time step 11804  t = 1.3115555555555314
writing time step 12258  t = 1.3620000000000039
writing time step 12712  t = 1.4124444444444764
writing time step 13166  t = 1.4628888888889489
writing time step 13620  t = 1.5133333333334213
writing time step 14074  t = 1.5637777777778938
writing time step 14528  t = 1.6142222222223663
