writing time step 30  t = 0.013636363636363632
writing time step 60  t = 0.027272727272727254
writing time step 90  t = 0.04090909090909095
writing time step 120  t = 0.054545454545454675
writing time step 150  t = 0.0681818181818184
writing time step 180  t = 0.08181818181818212
writing time step 210  t = 0.09545454545454585
writing time step 240  t = 0.10909090909090957
writing time step 270  t = 0.1227272727272733
writing time step 300  t = 0.13636363636363702
writing time step 330  t = 0.15
