writing time step 1  t = 0.00288135593220339
writing time step 2  t = 0.00576271186440678
writing time step 3  t = 0.00864406779661017
writing time step 4  t = 0.01152542372881356
writing time step 5  t = 0.01440677966101695
writing time step 6  t = 0.01728813559322034
writing time step 7  t = 0.02016949152542373
writing time step 8  t = 0.02305084745762712
writing time step 9  t = 0.02593220338983051
writing time step 10  t = 0.0288135593220339
writing time step 11  t = 0.03169491525423729
writing time step 12  t = 0.03457627118644068
writing time step 13  t = 0.037457627118644074
writing time step 14  t = 0.04033898305084747
writing time step 15  t = 0.04322033898305086
writing time step 16  t = 0.04610169491525425
writing time step 17  t = 0.048983050847457646
writing time step 18  t = 0.05186440677966104
writing time step 19  t = 0.05474576271186443
writing time step 20  t = 0.057627118644067825
writing time step 21  t = 0.06050847457627122
writing time step 22  t = 0.0633898305084746
writing time step 23  t = 0.06627118644067799
writing time step 24  t = 0.06915254237288138
writing time step 25  t = 0.07203389830508476
writing time step 26  t = 0.07491525423728815
writing time step 27  t = 0.07779661016949153
writing time step 28  t = 0.08067796610169492
writing time step 29  t = 0.0835593220338983
writing time step 30  t = 0.08644067796610169
writing time step 31  t = 0.08932203389830508
writing time step 32  t = 0.09220338983050846
writing time step 33  t = 0.09508474576271185
writing time step 34  t = 0.09796610169491524
writing time step 35  t = 0.10084745762711862
writing time step 36  t = 0.10372881355932201
writing time step 37  t = 0.1066101694915254
writing time step 38  t = 0.10949152542372878
writing time step 39  t = 0.11237288135593217
writing time step 40  t = 0.11525423728813555
writing time step 41  t = 0.11813559322033894
writing time step 42  t = 0.12101694915254232
writing time step 43  t = 0.12389830508474571
writing time step 44  t = 0.1267796610169491
writing time step 45  t = 0.1296610169491525
writing time step 46  t = 0.1325423728813559
writing time step 47  t = 0.1354237288135593
writing time step 48  t = 0.1383050847457627
writing time step 49  t = 0.1411864406779661
writing time step 50  t = 0.1440677966101695
writing time step 51  t = 0.1469491525423729
writing time step 52  t = 0.1498305084745763
writing time step 53  t = 0.1527118644067797
writing time step 54  t = 0.1555932203389831
writing time step 55  t = 0.1584745762711865
writing time step 56  t = 0.1613559322033899
writing time step 57  t = 0.1642372881355933
writing time step 58  t = 0.1671186440677967
writing time step 59  t = 0.17
