writing time step 5  t = 0.0018181818181818184
writing time step 10  t = 0.003636363636363637
writing time step 15  t = 0.005454545454545455
writing time step 20  t = 0.007272727272727274
writing time step 25  t = 0.009090909090909089
writing time step 30  t = 0.010909090909090903
writing time step 35  t = 0.012727272727272717
writing time step 40  t = 0.014545454545454532
writing time step 45  t = 0.01636363636363635
writing time step 50  t = 0.018181818181818174
writing time step 55  t = 0.019999999999999997
writing time step 60  t = 0.02181818181818182
writing time step 65  t = 0.023636363636363643
writing time step 70  t = 0.025454545454545466
writing time step 75  t = 0.02727272727272729
writing time step 80  t = 0.02909090909090911
writing time step 85  t = 0.030909090909090935
writing time step 90  t = 0.03272727272727276
writing time step 95  t = 0.03454545454545458
writing time step 100  t = 0.036363636363636404
writing time step 105  t = 0.038181818181818226
writing time step 110  t = 0.04000000000000005
writing time step 115  t = 0.04181818181818187
writing time step 120  t = 0.043636363636363695
writing time step 125  t = 0.04545454545454552
writing time step 130  t = 0.04727272727272734
writing time step 135  t = 0.049090909090909164
writing time step 140  t = 0.05090909090909099
writing time step 145  t = 0.05272727272727281
writing time step 150  t = 0.05454545454545463
writing time step 155  t = 0.056363636363636456
writing time step 160  t = 0.05818181818181828
writing time step 165  t = 0.0600000000000001
writing time step 170  t = 0.061818181818181925
writing time step 175  t = 0.06363636363636373
writing time step 180  t = 0.06545454545454552
writing time step 185  t = 0.0672727272727273
writing time step 190  t = 0.06909090909090909
writing time step 195  t = 0.07090909090909088
writing time step 200  t = 0.07272727272727267
writing time step 205  t = 0.07454545454545446
writing time step 210  t = 0.07636363636363624
writing time step 215  t = 0.07818181818181803
writing time step 220  t = 0.07999999999999982
writing time step 225  t = 0.08181818181818161
writing time step 230  t = 0.0836363636363634
writing time step 235  t = 0.08545454545454519
writing time step 240  t = 0.08727272727272697
writing time step 245  t = 0.08909090909090876
writing time step 250  t = 0.09090909090909055
writing time step 255  t = 0.09272727272727234
writing time step 260  t = 0.09454545454545413
writing time step 265  t = 0.09636363636363592
writing time step 270  t = 0.0981818181818177
writing time step 275  t = 0.09999999999999949
writing time step 280  t = 0.10181818181818128
writing time step 285  t = 0.10363636363636307
writing time step 290  t = 0.10545454545454486
writing time step 295  t = 0.10727272727272665
writing time step 300  t = 0.10909090909090843
writing time step 305  t = 0.11090909090909022
writing time step 310  t = 0.11272727272727201
writing time step 315  t = 0.1145454545454538
writing time step 320  t = 0.11636363636363559
writing time step 325  t = 0.11818181818181737
writing time step 330  t = 0.11999999999999916
writing time step 335  t = 0.12181818181818095
writing time step 340  t = 0.12363636363636274
writing time step 345  t = 0.12545454545454454
writing time step 350  t = 0.1272727272727264
writing time step 355  t = 0.12909090909090826
writing time step 360  t = 0.13090909090909011
writing time step 365  t = 0.13272727272727197
writing time step 370  t = 0.13454545454545383
writing time step 375  t = 0.1363636363636357
writing time step 380  t = 0.13818181818181755
writing time step 385  t = 0.1399999999999994
writing time step 390  t = 0.14181818181818126
writing time step 395  t = 0.14363636363636312
writing time step 400  t = 0.14545454545454498
writing time step 405  t = 0.14727272727272683
writing time step 410  t = 0.1490909090909087
writing time step 415  t = 0.15090909090909055
writing time step 420  t = 0.1527272727272724
writing time step 425  t = 0.15454545454545426
writing time step 430  t = 0.15636363636363612
writing time step 435  t = 0.15818181818181798
writing time step 440  t = 0.15999999999999984
writing time step 445  t = 0.1618181818181817
writing time step 450  t = 0.16363636363636355
writing time step 455  t = 0.1654545454545454
writing time step 460  t = 0.16727272727272727
writing time step 465  t = 0.16909090909090913
writing time step 470  t = 0.17090909090909098
writing time step 475  t = 0.17272727272727284
writing time step 480  t = 0.1745454545454547
writing time step 485  t = 0.17636363636363656
writing time step 490  t = 0.1781818181818184
writing time step 495  t = 0.18000000000000027
writing time step 500  t = 0.18181818181818213
writing time step 505  t = 0.183636363636364
writing time step 510  t = 0.18545454545454584
writing time step 515  t = 0.1872727272727277
writing time step 520  t = 0.18909090909090956
writing time step 525  t = 0.19090909090909142
writing time step 530  t = 0.19272727272727327
writing time step 535  t = 0.19454545454545513
writing time step 540  t = 0.196363636363637
writing time step 545  t = 0.19818181818181885
writing time step 550  t = 0.2
