writing time step 9  t = 0.001
writing time step 18  t = 0.002
writing time step 27  t = 0.003000000000000002
writing time step 36  t = 0.0040000000000000036
writing time step 45  t = 0.005000000000000005
writing time step 54  t = 0.006000000000000007
writing time step 63  t = 0.007000000000000009
writing time step 72  t = 0.008000000000000009
writing time step 81  t = 0.009000000000000003
writing time step 90  t = 0.009999999999999997
writing time step 99  t = 0.01099999999999999
writing time step 108  t = 0.011999999999999985
writing time step 117  t = 0.012999999999999979
writing time step 126  t = 0.013999999999999973
writing time step 135  t = 0.014999999999999966
writing time step 144  t = 0.015999999999999962
writing time step 153  t = 0.016999999999999956
writing time step 162  t = 0.01799999999999995
writing time step 171  t = 0.018999999999999944
writing time step 180  t = 0.019999999999999938
writing time step 189  t = 0.020999999999999932
writing time step 198  t = 0.021999999999999926
writing time step 207  t = 0.02299999999999992
writing time step 216  t = 0.023999999999999914
writing time step 225  t = 0.024999999999999908
writing time step 234  t = 0.0259999999999999
writing time step 243  t = 0.026999999999999896
writing time step 252  t = 0.02799999999999989
writing time step 261  t = 0.028999999999999884
writing time step 270  t = 0.029999999999999877
writing time step 279  t = 0.03099999999999987
writing time step 288  t = 0.03199999999999987
writing time step 297  t = 0.03299999999999986
writing time step 306  t = 0.03399999999999986
writing time step 315  t = 0.03499999999999985
writing time step 324  t = 0.035999999999999845
writing time step 333  t = 0.03699999999999984
writing time step 342  t = 0.03799999999999983
writing time step 351  t = 0.038999999999999826
writing time step 360  t = 0.03999999999999982
writing time step 369  t = 0.040999999999999814
writing time step 378  t = 0.04199999999999981
writing time step 387  t = 0.0429999999999998
writing time step 396  t = 0.043999999999999796
writing time step 405  t = 0.04499999999999979
writing time step 414  t = 0.045999999999999784
writing time step 423  t = 0.04699999999999978
writing time step 432  t = 0.04799999999999977
writing time step 441  t = 0.048999999999999766
writing time step 450  t = 0.04999999999999976
writing time step 459  t = 0.050999999999999754
writing time step 468  t = 0.05199999999999975
writing time step 477  t = 0.05299999999999974
writing time step 486  t = 0.053999999999999736
writing time step 495  t = 0.05499999999999973
writing time step 504  t = 0.055999999999999724
writing time step 513  t = 0.05699999999999972
writing time step 522  t = 0.05799999999999971
writing time step 531  t = 0.058999999999999705
writing time step 540  t = 0.0599999999999997
writing time step 549  t = 0.06099999999999969
writing time step 558  t = 0.06199999999999969
writing time step 567  t = 0.06299999999999971
writing time step 576  t = 0.06399999999999977
writing time step 585  t = 0.06499999999999982
writing time step 594  t = 0.06599999999999988
writing time step 603  t = 0.06699999999999993
writing time step 612  t = 0.06799999999999999
writing time step 621  t = 0.06900000000000005
writing time step 630  t = 0.0700000000000001
writing time step 639  t = 0.07100000000000016
writing time step 648  t = 0.07200000000000022
writing time step 657  t = 0.07300000000000027
writing time step 666  t = 0.07400000000000033
writing time step 675  t = 0.07500000000000039
writing time step 684  t = 0.07600000000000044
writing time step 693  t = 0.0770000000000005
writing time step 702  t = 0.07800000000000056
writing time step 711  t = 0.07900000000000061
writing time step 720  t = 0.08000000000000067
writing time step 729  t = 0.08100000000000072
writing time step 738  t = 0.08200000000000078
writing time step 747  t = 0.08300000000000084
writing time step 756  t = 0.0840000000000009
writing time step 765  t = 0.08500000000000095
writing time step 774  t = 0.086000000000001
writing time step 783  t = 0.08700000000000106
writing time step 792  t = 0.08800000000000112
writing time step 801  t = 0.08900000000000118
writing time step 810  t = 0.09000000000000123
writing time step 819  t = 0.09100000000000129
writing time step 828  t = 0.09200000000000134
writing time step 837  t = 0.0930000000000014
writing time step 846  t = 0.09400000000000146
writing time step 855  t = 0.09500000000000151
writing time step 864  t = 0.09600000000000157
writing time step 873  t = 0.09700000000000163
writing time step 882  t = 0.09800000000000168
writing time step 891  t = 0.09900000000000174
writing time step 900  t = 0.1
