writing time step 181  t = 0.02011111111111105
writing time step 362  t = 0.04022222222222204
writing time step 543  t = 0.06033333333333303
writing time step 724  t = 0.08044444444444514
writing time step 905  t = 0.10055555555555738
writing time step 1086  t = 0.12066666666666963
writing time step 1267  t = 0.14077777777778186
writing time step 1448  t = 0.1608888888888941
writing time step 1629  t = 0.18100000000000635
writing time step 1810  t = 0.2011111111111186
writing time step 1991  t = 0.22122222222223084
writing time step 2172  t = 0.2413333333333431
writing time step 2353  t = 0.2614444444444553
writing time step 2534  t = 0.28155555555556755
writing time step 2715  t = 0.3016666666666798
writing time step 2896  t = 0.32177777777779204
writing time step 3077  t = 0.3418888888889043
writing time step 3258  t = 0.36200000000001653
writing time step 3439  t = 0.3821111111111288
writing time step 3620  t = 0.402222222222241
writing time step 3801  t = 0.42233333333335327
writing time step 3982  t = 0.4424444444444655
writing time step 4163  t = 0.46255555555557776
writing time step 4344  t = 0.48266666666669
writing time step 4525  t = 0.5027777777778009
writing time step 4706  t = 0.5228888888889031
writing time step 4887  t = 0.5430000000000053
writing time step 5068  t = 0.5631111111111075
