writing time step 17  t = 0.04857142857142857
writing time step 34  t = 0.09714285714285723
writing time step 51  t = 0.1457142857142859
writing time step 68  t = 0.1942857142857146
writing time step 85  t = 0.24285714285714327
writing time step 102  t = 0.29142857142857154
writing time step 119  t = 0.33999999999999975
writing time step 136  t = 0.38857142857142796
writing time step 153  t = 0.43714285714285617
writing time step 170  t = 0.4857142857142844
writing time step 187  t = 0.5342857142857133
writing time step 204  t = 0.5828571428571424
writing time step 221  t = 0.6314285714285716
writing time step 238  t = 0.6800000000000007
writing time step 255  t = 0.7285714285714299
writing time step 272  t = 0.777142857142859
writing time step 289  t = 0.8257142857142882
writing time step 306  t = 0.8742857142857173
writing time step 323  t = 0.9228571428571465
writing time step 340  t = 0.9714285714285756
writing time step 357  t = 1.0200000000000047
writing time step 374  t = 1.0685714285714338
writing time step 391  t = 1.117142857142863
writing time step 408  t = 1.1657142857142921
writing time step 425  t = 1.2142857142857213
writing time step 442  t = 1.2628571428571504
writing time step 459  t = 1.3114285714285796
writing time step 476  t = 1.3600000000000088
writing time step 493  t = 1.408571428571438
writing time step 510  t = 1.457142857142867
writing time step 527  t = 1.5057142857142962
writing time step 544  t = 1.5542857142857254
writing time step 561  t = 1.6028571428571545
writing time step 578  t = 1.6514285714285837
writing time step 595  t = 1.7000000000000128
writing time step 612  t = 1.748571428571442
writing time step 629  t = 1.7971428571428711
writing time step 646  t = 1.8457142857143003
writing time step 663  t = 1.8942857142857294
writing time step 680  t = 1.9428571428571586
writing time step 697  t = 1.9914285714285878
writing time step 714  t = 2.040000000000014
writing time step 731  t = 2.088571428571439
writing time step 748  t = 2.1371428571428646
writing time step 765  t = 2.18571428571429
writing time step 782  t = 2.2342857142857153
writing time step 799  t = 2.2828571428571407
writing time step 816  t = 2.331428571428566
writing time step 833  t = 2.3799999999999915
writing time step 850  t = 2.428571428571417
writing time step 867  t = 2.477142857142842
writing time step 884  t = 2.5257142857142676
writing time step 901  t = 2.574285714285693
writing time step 918  t = 2.6228571428571184
writing time step 935  t = 2.6714285714285437
writing time step 952  t = 2.719999999999969
writing time step 969  t = 2.7685714285713945
writing time step 986  t = 2.81714285714282
writing time step 1003  t = 2.8657142857142452
writing time step 1020  t = 2.9142857142856706
writing time step 1037  t = 2.962857142857096
