writing time step 84  t = 0.02000000000000002
writing time step 168  t = 0.04000000000000006
writing time step 252  t = 0.06000000000000011
writing time step 336  t = 0.07999999999999964
writing time step 420  t = 0.0999999999999991
writing time step 504  t = 0.11999999999999857
writing time step 588  t = 0.13999999999999804
writing time step 672  t = 0.1599999999999975
writing time step 756  t = 0.17999999999999697
writing time step 840  t = 0.19999999999999643
writing time step 924  t = 0.2199999999999959
writing time step 1008  t = 0.23999999999999536
writing time step 1092  t = 0.25999999999999596
writing time step 1176  t = 0.27999999999999775
writing time step 1260  t = 0.29999999999999954
writing time step 1344  t = 0.32000000000000134
writing time step 1428  t = 0.34000000000000313
writing time step 1512  t = 0.3600000000000049
writing time step 1596  t = 0.3800000000000067
writing time step 1680  t = 0.4000000000000085
writing time step 1764  t = 0.4200000000000103
writing time step 1848  t = 0.4400000000000121
writing time step 1932  t = 0.4600000000000139
writing time step 2016  t = 0.4800000000000157
writing time step 2100  t = 0.5000000000000174
writing time step 2184  t = 0.5200000000000192
writing time step 2268  t = 0.540000000000021
writing time step 2352  t = 0.5600000000000228
writing time step 2436  t = 0.5800000000000246
writing time step 2520  t = 0.6000000000000264
writing time step 2604  t = 0.6200000000000282
writing time step 2688  t = 0.64000000000003
writing time step 2772  t = 0.6600000000000318
writing time step 2856  t = 0.6800000000000336
writing time step 2940  t = 0.7000000000000354
writing time step 3024  t = 0.7200000000000372
writing time step 3108  t = 0.740000000000039
writing time step 3192  t = 0.7600000000000408
writing time step 3276  t = 0.7800000000000425
writing time step 3360  t = 0.8000000000000443
writing time step 3444  t = 0.8200000000000461
writing time step 3528  t = 0.8400000000000479
writing time step 3612  t = 0.8600000000000497
writing time step 3696  t = 0.8800000000000515
writing time step 3780  t = 0.9000000000000533
writing time step 3864  t = 0.9200000000000551
writing time step 3948  t = 0.9400000000000569
writing time step 4032  t = 0.9600000000000587
writing time step 4116  t = 0.9800000000000605
writing time step 4200  t = 1.0000000000000622
writing time step 4284  t = 1.0200000000000546
writing time step 4368  t = 1.040000000000047
writing time step 4452  t = 1.0600000000000396
writing time step 4536  t = 1.080000000000032
writing time step 4620  t = 1.1000000000000245
writing time step 4704  t = 1.120000000000017
writing time step 4788  t = 1.1400000000000095
writing time step 4872  t = 1.160000000000002
writing time step 4956  t = 1.1799999999999944
writing time step 5040  t = 1.1999999999999869
writing time step 5124  t = 1.2199999999999793
writing time step 5208  t = 1.2399999999999718
writing time step 5292  t = 1.2599999999999643
writing time step 5376  t = 1.2799999999999567
writing time step 5460  t = 1.2999999999999492
writing time step 5544  t = 1.3199999999999417
writing time step 5628  t = 1.3399999999999341
writing time step 5712  t = 1.3599999999999266
writing time step 5796  t = 1.379999999999919
writing time step 5880  t = 1.3999999999999115
writing time step 5964  t = 1.419999999999904
writing time step 6048  t = 1.4399999999998965
writing time step 6132  t = 1.459999999999889
writing time step 6216  t = 1.4799999999998814
writing time step 6300  t = 1.4999999999998739
writing time step 6384  t = 1.5199999999998663
writing time step 6468  t = 1.5399999999998588
writing time step 6552  t = 1.5599999999998513
writing time step 6636  t = 1.5799999999998438
writing time step 6720  t = 1.5999999999998362
writing time step 6804  t = 1.6199999999998287
writing time step 6888  t = 1.6399999999998212
writing time step 6972  t = 1.6599999999998136
writing time step 7056  t = 1.679999999999806
writing time step 7140  t = 1.6999999999997986
writing time step 7224  t = 1.719999999999791
writing time step 7308  t = 1.7399999999997835
writing time step 7392  t = 1.759999999999776
writing time step 7476  t = 1.7799999999997684
writing time step 7560  t = 1.799999999999761
writing time step 7644  t = 1.8199999999997534
writing time step 7728  t = 1.8399999999997458
writing time step 7812  t = 1.8599999999997383
writing time step 7896  t = 1.8799999999997308
writing time step 7980  t = 1.8999999999997232
writing time step 8064  t = 1.9199999999997157
writing time step 8148  t = 1.9399999999997082
writing time step 8232  t = 1.9599999999997006
writing time step 8316  t = 1.9799999999996931
writing time step 8400  t = 1.9999999999996856
