writing time step 45  t = 0.005000000000000005
writing time step 90  t = 0.009999999999999997
writing time step 135  t = 0.014999999999999966
writing time step 180  t = 0.019999999999999938
writing time step 225  t = 0.024999999999999908
writing time step 270  t = 0.029999999999999877
writing time step 315  t = 0.03499999999999985
writing time step 360  t = 0.03999999999999982
writing time step 405  t = 0.04499999999999979
writing time step 450  t = 0.04999999999999976
writing time step 495  t = 0.05499999999999973
writing time step 540  t = 0.0599999999999997
writing time step 585  t = 0.06499999999999982
writing time step 630  t = 0.0700000000000001
writing time step 675  t = 0.07500000000000039
writing time step 720  t = 0.08000000000000067
writing time step 765  t = 0.08500000000000095
writing time step 810  t = 0.09000000000000123
writing time step 855  t = 0.09500000000000151
writing time step 900  t = 0.1000000000000018
writing time step 945  t = 0.10500000000000208
writing time step 990  t = 0.11000000000000236
writing time step 1035  t = 0.11500000000000264
writing time step 1080  t = 0.12000000000000292
writing time step 1125  t = 0.1250000000000032
writing time step 1170  t = 0.13000000000000347
writing time step 1215  t = 0.13500000000000376
writing time step 1260  t = 0.14000000000000404
writing time step 1305  t = 0.14500000000000432
writing time step 1350  t = 0.1500000000000046
writing time step 1395  t = 0.15500000000000488
writing time step 1440  t = 0.16000000000000517
writing time step 1485  t = 0.16500000000000545
writing time step 1530  t = 0.17000000000000573
writing time step 1575  t = 0.175000000000006
writing time step 1620  t = 0.1800000000000063
